sd,pd,os,bs,target_co_simplified,target_pr_simplified
java doc warning in the build i20190816-0155,Platform,All,RESOLVED,UI,P3
"adding filter for api tools problem ""the re-exported type package.classname in pluginb_1.0.0 is no longer api"" doesn't work",PDE,Windows 7,VERIFIED,Other,P3
eclipse only issues a warning for name collision but javac reports an error,JDT,Mac OS X,RESOLVED,Core,P3
eclipse 4.13 prerequisites for m3: ecf,Platform,All,RESOLVED,Releng,P3
eclipse 4.13 prerequisites for rc1: emf,Platform,All,RESOLVED,Releng,P3
eclipse 4.13 prerequisites for m3: orbit,Platform,All,RESOLVED,Releng,P3
class cast exception when moving class on class diagram,Papyrus,Windows 10,NEW,Diagram,P3
apianalyzer flags false positive error due to extension point schema include,PDE,Windows 10,NEW,UI,P3
compatibility check prohibits installation,MPC,Windows 10,CLOSED,Other,P3
org.eclipse.equinox.p2.artifact.checksums.bouncycastle has no src folder,Equinox,Windows 7,RESOLVED,Other,P3
"[designer, components] fix issues in connector reification",Papyrus,All,RESOLVED,Other,P3
speedup of static weaving processor when weaving in-place,EclipseLink,Windows 10,NEW,Other,P3
activate azure devops integration for eclipse/antenna github project,z_Archived,Linux,CLOSED,Other,P3
debug view collapses all content if hidden,Platform,Linux,CLOSED,Debug,P3
reduce wait time in runtime process termination,Platform,All,RESOLVED,Debug,P3
org.eclipse.tycho.p2.impl.publisher.p2generatorimpl.getproductfiles(file) should ignore polyglot files,z_Archived,All,RESOLVED,Tycho,P3
ui freeze in javaoutlineinformationcontrol,JDT,Linux,RESOLVED,UI,P3
enabling google analytics for the openj9 project,Community,Mac OS X,NEW,Other,P3
new jacc maven coordinates,Community,Mac OS X,CLOSED,CI-Jenkins,P3
"""dirty"" flag appears when opening pdf file",Platform,Windows 10,CLOSED,IDE,P3
"[passage] provide tutorial ""create licensed rcp""",Passage,All,RESOLVED,General,P3
[py4j] large integers throw when used in script shell,Ease,All,CLOSED,Other,P3
[api analysis application] exceptions return success,PDE,All,VERIFIED,Other,P3
performance#assertperformanceinrelativeband should be static,Platform,All,RESOLVED,IDE,P3
use varargs in evaluator#setassertcheckers,Platform,Linux,RESOLVED,IDE,P3
org.eclipse.tycho.core.osgitools.eclipserepositoryproject.getproductfiles(mavenproject) should ignor polyglot files,z_Archived,All,RESOLVED,Tycho,P3
[iotml] missing rcp icons and essential features,Papyrus,All,NEW,Other,P3
provide reliable way to measure startup performance,Platform,Linux,RESOLVED,IDE,P3
improve interactive performance of the eclipse sdk 4.14,Platform,Linux,RESOLVED,IDE,P3
npe in toposortgenerator,JGit,Windows 10,CLOSED,JGit,P3
remove try catch block in structuredviewer,Platform,Linux,RESOLVED,UI,P3
"[designer, releng] create a 2019-06 target platform",Papyrus,All,RESOLVED,Other,P3
unable to run bugzilla manager on 'modeling.mmt.qvt-oml',Community,Windows 10,RESOLVED,Other,P3
proxy server is not honoured by eclipse,Platform,Windows 10,CLOSED,IDE,P3
[java editor] unknown character displayed when mouse-hovering over breadcrumbs,Eclemma,Linux,NEW,General,P3
enable hashcode usage in detailedprogressviewer (used in the progress view),Platform,Linux,RESOLVED,UI,P3
[room.ui] wrong quickfix for unresolved reference to port,eTrice,Windows 10,RESOLVED,Other,P3
promote failure and stop on error flags do not work on modern tests,Ease,All,UNCONFIRMED,UI,P3
commandprovideradapter service registration should have the same service.ranking than the adapted commandprovider service,Equinox,Mac OS X,RESOLVED,Other,P3
sometimes incomplete stack is shown for threads that were expanded before resume,Platform,Linux,VERIFIED,Debug,P3
teamaction gettargetpage() can return null,Platform,All,RESOLVED,Other,P3
update wizard elements to use hash code lookup for viewers,JDT,Linux,RESOLVED,UI,P3
use hash lookup in newwizardnewpage,Platform,Linux,RESOLVED,UI,P3
[content assist] new proposal category may get enabled by default,JDT,Linux,VERIFIED,UI,P3
assign resource pack to project eclipse.platform,Community,Mac OS X,CLOSED,CI-Jenkins,P3
deleting multiple interdependent projects triggers builds which prevent deletion,JDT,Linux,NEW,UI,P3
[release] ee4j.bean-validation 2.0.0,Community,All,RESOLVED,Proposals and Reviews,P3
[release] ee4j.batch 1.0.0,Community,All,RESOLVED,Proposals and Reviews,P3
[release] locationtech.geowave 1.0.0,Community,All,RESOLVED,Proposals and Reviews,P3
change download page to use eclipse mirror script,4DIAC,Linux,CLOSED,Other,P3
rcptt complains when trying to use get-editbox on a content assist popup dialog,RCPTT,Windows 10,UNCONFIRMED,Other,P3
4.13 i build failed due to swt increment job failure for 20190819,Platform,All,RESOLVED,Releng,P3
53 test failures in pde.api.tools.tests for y20190819-0900,PDE,Windows 7,VERIFIED,Other,P3
14 test failures in template tests in pde in y build,PDE,Windows 7,RESOLVED,UI,P3
org.apache.commons.net jar is missing in the eclipse photon,CDT,Linux,RESOLVED,Other,P3
pomless build should support overriding of derived maven coordinates,z_Archived,Linux,RESOLVED,Tycho,P3
activate parallel loading of bundles,Platform,Linux,RESOLVED,IDE,P3
new plug-in wizard should use hash lookup,PDE,Linux,RESOLVED,UI,P3
mac native build taking very long,Community,Mac OS X,CLOSED,CI-Jenkins,P3
assign resource pack to project eclipse.platform,Community,Linux,CLOSED,CI-Jenkins,P3
[examples] decorator example is available even if the papyrus examples are not installed,Papyrus,All,RESOLVED,Core,P3
apibaselinepreferencepage should use fast hash lookup,PDE,Linux,VERIFIED,UI,P3
regression: f3 sometimes opens java file in system rather than jdt editor,JDT,Windows 10,NEW,Core,P3
commitfilediffviewer should use fast hash lookup,EGit,Linux,RESOLVED,UI,P3
windows test machine is down,Community,All,CLOSED,Other,P3
remove manifestbuilder and schemabuilder from api analysis,PDE,Windows 7,RESOLVED,Other,P3
code completion help popups might stall the ui,Ease,All,CLOSED,UI,P3
error markers on dependency tab,PDE,All,ASSIGNED,UI,P3
in the generaded c code inherited operations are missing in extending dataclasses,eTrice,Windows 10,REOPENED,Other,P3
release swt builder classes as api,Platform,Linux,RESOLVED,UI,P3
"""the method x can be made static"" ignores synchronized",JDT,Linux,NEW,Core,P3
sometimes a npe in org.eclipse.ui.internal.monitoring.monitoringstartup.earlystartup(monitoringstartup.java:37),Platform,Linux,CLOSED,UI,P3
remote debugging multi-threaded application is extremely slow,CDT,Linux,NEW,Other,P3
use fast tree lookup in debug launch config,Platform,Linux,RESOLVED,Debug,P3
update ide e4 command templates to remove menu / command / handers if the plug-in is not present,PDE,Linux,RESOLVED,UI,P3
"api analysis steps in tycho build should use i-build as runner, and latest release as baseline",Platform,All,RESOLVED,Releng,P3
"""searching..."" does not stop in quick search dialog",Platform,All,VERIFIED,Text,P3
cce in categorization with composite categories and a depth of 1,ECP,Linux,CLOSED,EMF Forms,P3
random build errors,JDT,Linux,CLOSED,Core,P3
in eclipse photon remote system explorer and  ftpclient class is missing,EPP,Linux,RESOLVED,Other,P3
ui freeze in installed software tab,Equinox,Linux,RESOLVED,Other,P3
4diac ide tycho build should generate download packages with the correct nameing,4DIAC,Linux,CLOSED,4DIAC-IDE,P3
npe when opening quick outline,JDT,Mac OS X,RESOLVED,UI,P3
toolbar rendered on wrong location when visible flag toggles,Platform,Linux,CLOSED,UI,P3
[win32] no longer able to use an external class folder build path entry using a unc path,JDT,Windows 10,RESOLVED,Core,P3
assign resource pack to project eclipse.platform,Community,All,CLOSED,CI-Jenkins,P3
jface viewer should guard against null access in finditems if usehashlookup is used,Platform,Linux,RESOLVED,UI,P3
ide e4 templates re-use xmi:id breaking uniqueness conventions,PDE,Windows 10,NEW,UI,P3
[13] whitespace ignored at octal in text block,JDT,Windows 7,CLOSED,Core,P3
make it happen e4 product has missing dependency,ECP,Linux,CLOSED,EMF Forms,P3
[release] technology.openj9 0.16.0,Community,All,RESOLVED,Proposals and Reviews,P3
m2 installation fails macos catalina security check,EPP,Mac OS X,CLOSED,Other,P3
add download stats generation for 4diac ide update sites,4DIAC,Linux,CLOSED,4DIAC-IDE,P3
missing logo on https://www.eclipse.org/ide/ for ide platforms,Community,Windows 10,RESOLVED,Website,P3
[components][releng] tycho surefire configuration explicitly depends on equinox.ds,Papyrus,All,NEW,Other,P3
please add all these items to events.eclipse.org,z_Archived,Mac OS X,CLOSED,Other,P3
[13] create patch (p) build for java 13,Platform,All,CLOSED,Releng,P3
display ports are not available on hippcentos attached to releng jipp,Community,Linux,CLOSED,Other,P3
no jadclipse menu option under window/preferences/java,Platform,Windows 10,CLOSED,Runtime,P3
tycho pomless should support target-definition builds,z_Archived,All,RESOLVED,Tycho,P3
.,Web Tools,Mac OS X,RESOLVED,Other,P3
"[quicksearch] quicksearch dialog shows ""searching..."" even when there are no search parameter",Platform,All,VERIFIED,Text,P3
constant ui freezes with error log view with specific log entries,Platform,Linux,CLOSED,UI,P3
lack of typesafeenum#hashcode may lead to non-deterministic bytecode,AspectJ,Windows 10,RESOLVED,Other,P3
jgit hangs in fs.filestoreattributecache,JGit,Linux,CLOSED,JGit,P3
use concise text in discard all changes dialog,EGit,Linux,RESOLVED,UI,P3
use concise text in reset dialog,EGit,Linux,RESOLVED,UI,P3
"error log ""maximum log size"" field is never enabled",Platform,All,VERIFIED,UI,P3
[ui] improve usability of genmodel validation,eTrice,Windows 10,RESOLVED,Other,P3
context menu 'create view model project' action fails to load ecore,ECP,Linux,CLOSED,EMF Forms,P3
"opening ""customize perspective"" activates all (also invisible) action sets",Platform,All,CLOSED,UI,P3
[13] ast.ispreviewenabled() to also check for latest version followed by cleanup of preview enabled checks,JDT,All,RESOLVED,Core,P3
[bug] the delete quick fix does not work,Capra,Mac OS X,NEW,UI,P3
error log while installing (error message) cant be installed,JDT,Windows 10,NEW,Debug,P3
please syntax-highlight shell scripts (.sh files),Platform,All,CLOSED,Text,P3
provide better support for editing and compiling jet templates,EMF,Windows 7,CLOSED,Other,P3
jakarta stable release jenkins jobs unable to access github,Community,Mac OS X,CLOSED,CI-Jenkins,P3
apply light theme for egit jenkins,Community,All,CLOSED,CI-Jenkins,P3
[core build] allow toolchain to help set the name of the build config,CDT,Linux,RESOLVED,Other,P3
unable to launch runtime eclipse in 2019_06 on mac with adoptopenjdk 11.4,PDE,Mac OS X,CLOSED,Build,P3
synthetic $switch_table$ method being processed by compiler,AspectJ,All,RESOLVED,Other,P3
declare 4.13 m3,Platform,All,RESOLVED,Releng,P3
tycho-versions-plugin uses hard-coded polyglot file,z_Archived,All,RESOLVED,Tycho,P3
eclipse-jee-oxygen-r-linux-gtk-x86_64.tar.gz is not working,Community,All,CLOSED,Website,P3
[feature view] features from target platform,PDE,All,VERIFIED,UI,P3
[feature view] show products,PDE,All,VERIFIED,UI,P3
provide declarative project templates,PDE,Linux,CLOSED,UI,P3
cvs server on hipp10 not accessible,Community,Windows 7,RESOLVED,Other,P3
[tests] some tests are failing because of proxymodificationtrackingadapter,Papyrus,All,RESOLVED,Core,P3
[gtk] intermittent test failure isfocuscontrol,Platform,Linux,RESOLVED,SWT,P3
[mac] rendering problem in java editor views with long lines,Platform,Mac OS X,CLOSED,SWT,P3
junit test menuvisibilitytest.testvisibilitytracksenablement fails in nightly builds,Platform,Mac OS X,CLOSED,UI,P3
[quicksearch] entry selection in quick search dialog,Platform,Windows All,ASSIGNED,UI,P3
"move ""quick search"" preference page under ""preferences > general""",Platform,All,RESOLVED,UI,P3
junit test ieditorregistrytest.testbug308894 fails in nightly build,Platform,All,RESOLVED,UI,P3
[ui improvement] rethink the selection change event handling,Platform,Windows 10,RESOLVED,UI,P3
[model2doc] make uniform the required dependencies version of the model2doc plugins,Papyrus,Windows 10,RESOLVED,Model2Doc,P3
[model2doc] provide a bundle tests plugin for model2doc,Papyrus,Windows 10,RESOLVED,Model2Doc,P3
add a tooltip on the locked_by_other diagram semantic element figure.,Sirius,Mac OS X,CLOSED,Diagram,P3
if i enabled convert for loops to enhanced in code clean up i get this exception (in certain java files),z_Archived,Windows 10,NEW,m2e,P3
clean up: convert for loops to enhanced results in null pointer (in certain files),JDT,All,VERIFIED,UI,P3
signing commits is too permissive when locating secretkey,JGit,All,RESOLVED,JGit,P3
staging view freezes on commit (npe in abstracttexteditor$texteditorsavable.isdirty),Platform,All,CLOSED,UI,P3
table viewer using row template does not show the correct tooltip,RAP,All,NEW,Other,P3
generic type cache not update on eclasses,EMF,Windows 10,CLOSED,Core,P3
nullpointerexception in clonecommand#cleanup,JGit,Linux,RESOLVED,JGit,P3
[dark theme] scale has bright background on ctabfolder,Platform,Windows 10,RESOLVED,UI,P3
"ci-build fails with ""invalid target platform location: /tmp/genie.tycho/tycho-ci/win32/3.6.2/eclipse""",z_Archived,Linux,RESOLVED,Tycho,P3
pgm: support --not option in rev-list and log commands,JGit,All,NEW,JGit,P3
break point stopped working in debug mode,Platform,Mac OS X,CLOSED,Debug,P3
[tests] testbug545769_utf8outodd fails on windows,JDT,Windows 7,VERIFIED,Debug,P3
ui freeze of approx 40 seconds on opening launch configuration dialog,PDE,Windows 10,VERIFIED,UI,P3
provide platform.getlog(.class) method,Platform,Linux,RESOLVED,UI,P3
java container support shows image id rather than repo tag,Linux Tools,Linux,RESOLVED,Other,P3
jenkins job can't connect to nexus/sonatype/ossrh,Community,Mac OS X,CLOSED,CI-Jenkins,P3
improve performance of annotation column painting,Platform,All,RESOLVED,Text,P3
enable read access to all ee4j jenkins instances for ee4j contributors,Community,All,CLOSED,CI-Jenkins,P3
testjava4environment fails on one platform,PDE,Windows 7,NEW,UI,P3
disable ui monitoring in dev mode,Platform,All,RESOLVED,UI,P3
